x	y
10435	16252
10672	16387
10436	16523
10673	16659
10437	16795
10674	16931
10438	17067
10675	17202
10439	17339
10676	17474
10440	17611
10676	17746
10440	17883
10677	18018
10441	18155
10678	18290
10442	18426
10679	18562
10443	18698
10680	18833
10444	18970
10681	19105
10445	19242
10682	19377
10446	19514
10683	19649
10446	19786
10683	19921
10447	20057
10684	20193
10448	20329
10685	20464
10449	20601
10686	20736
10450	20873
10687	21008
10451	21145
10688	21280
10452	21417
10689	21552
10452	21688
10689	21824
10453	21960
10690	22095
10454	22232
10691	22367
10455	22504
10692	22639
10456	22776
10693	22911
10457	23048
10694	23183
10458	23319
10695	23455
10459	23591
10695	23726
10459	23863
10696	23998
10460	24135
10697	24270
10461	24407
10698	24542
10462	24679
10699	24814
10463	24950
10700	25086
10464	25222
10701	25358
10465	25494
10702	25629
10465	25766
10702	25901
10466	26038
10703	26173
10467	26310
10704	26445
10468	26582
10705	26717
10469	26853
10706	26989
10470	27125
10707	27260
10471	27397
10708	27532
10472	27669
10708	27804
10472	27941
10709	28076
10473	28213
10710	28348
10474	28484
10711	28620
10475	28756
10712	28891
10476	29028
10713	29163
10477	29300
10714	29435
10895	12173
11132	12308
10896	12444
11133	12580
10897	12716
11134	12851
10898	12988
11135	13123
10899	13260
11136	13395
10900	13532
11136	13667
10900	13804
11137	13939
10901	14075
11138	14211
10902	14347
11139	14482
10903	14619
11140	14754
10904	14891
11141	15026
10905	15163
11142	15298
10906	15435
11143	15570
10906	15706
11143	15842
10907	15978
11144	16113
10908	16250
11145	16385
10909	16522
11146	16657
10910	16794
11147	16929
10911	17066
11148	17201
10912	17338
11149	17473
10913	17609
11149	17745
10913	17881
11150	18016
10914	18153
11151	18288
10915	18425
11152	18560
10916	18697
11153	18832
10917	18969
11154	19104
10918	19240
11155	19376
10919	19512
11156	19647
10919	19784
11156	19919
10920	20056
11157	20191
10921	20328
11158	20463
10922	20600
11159	20735
10923	20871
11160	21007
10924	21143
11161	21278
10925	21415
11162	21550
10925	21687
11162	21822
10926	21959
11163	22094
10927	22231
11164	22366
10928	22502
11165	22638
10929	22774
11166	22909
10930	23046
11167	23181
10931	23318
11168	23453
10932	23590
11168	23725
